seq,name
67,자신이 가능하다고 생각하는 것보다 더 많은 것을 할 수 있는 인간은 없다.
68,지금 적극적으로 실행되는 괜찮은 계획이 다음 주의 완벽한 계획보다 낫다.
69,딱 5분만 더하자\n
70,성공이란 열정을 잃지 않고 실패를 거듭할 수 있는 능력이다.
71,10분 더 공부하면 당신의 이성친구 얼굴이 바뀐다.
72,10분뒤와 10년후를 동시에 생각하라.
73,남보다 더일찍 더 부지런히 노력해야 성공을 맛볼수 있다.
74,승리는 가장 끈기있는 사람에게로 돌아간다.
75,포기하지 마라.저 모퉁이만 돌면 희망이란 녀석이 기다리고 있을지도 모른다.
76,꿈이 없는 십대는 틀린 문장의 마침표와 같다.
77,실패는 용서해도 포기는 용서 못한다.
78,공부를 하려고 하지 말고 공부를 이겨버려라.
79,꿈이 바로 앞에 있는데 당신은 왜 팔을 뻗지 않는가?
80,인간의 정신과 육체는 쓰면 쓸수록 강해진다.
81,고생 없이 얻을 수 있는 진실로 귀중한 것은 하나도 없다.
82,마음먹은 일은 일단 시작했으면 반드시 끝이라는 결과를 모아야만 한다.
83,열심히 공부해서 2호선타자\n당신의 미래는 2호선이다.
84,커서 뭐될래? 앞으로 뭐될래?
85,Practice makes perfect 연습은 완벽을 만든다.
86,숙고할 시간을 가져라\n그러나 일단 행동할 시간이 되면 생각을 멈추고 돌진하라
87,오늘의 꽃은 어제의 씨앗에 근거한다.
88,명심하라 공부하다 잠이오면 두사람을 생각하라\n너의 아버지와 너의 라이벌을.공부하다 잡념이 생기면 두사람을 생각하라\n너의 어머니와 너를 비웃는 자를\n공부하다포기하고 싶으면 생각하라\n너의 소중한 친구들과 네가 사랑하는 사람을.
90,공부한 시간  푼 문제집의 양이 중요한게 아니다\n머릿속에 들어간 내용이 중요한 것이다.
91,미래에 투자하는 사람은 현실에 충실한 사람이다.
92,시간은 간다\n그리고 오늘은 당신의 삶중 가장 가치있는 날이다.
93,미래를 신뢰하지 마라\n죽은 과거는 묻어라\n그리고 살아있는 현재에 행동하라.
94,네가 지금 넘어지지 않는 건 잘 걸어서가 아니라 달리지 않아서 그런 것 아닌가?
95,어리석은 사람은 기적을 바라고 현명한 사람은 기적을 만든다.
96,포기란 배추 셀 때나 하는 말이다.
97, Well begun is half done 시작이 반이다.
98,물어보는 사람은 5분동안 바보가 된다\n묻지 않은 사람은 영원히 바보로 머문다.
99,세상이 너에게 맞춰지기를 생각하지 말라.
100,실력없는 자존심 만큼 비참한 것은 없다.
101,절대 늦지않은 race 수능\n지금부터 샤프를 잡으면 된다\n쓰러지기 전까지 샤프를 놓지말자.
102,그대의 도전을 존중하라 어둠의 딱지를 붙인 공간이 실은 밝은 빛으로 그대를 데려가는 곳이니\n
103,너의 한계성에 도전해 싸우라\n그러면 분명히 그것들은 네 능력 안에 들어올 것이다.
104,도전에 성공하는 비결은 단 하나 결단코 포기하지 않는 일이다.
105,모든 것을 인내로 대하는 사람만이 모든 것에 도전한다.
106,어떤 일을 끝마쳐야 할 날짜를 정해 그것에 도전하라.
107,당신은 이러려고 태어난 것이 아니다\n당신의 삶은 거룩하며 그럴 자격이 있다.
108,해보지 않고는 당신이 무엇을 해낼 수 있는지 알 수가 없다\n일단 해라.
109,지금 해라\n그냥 해라\n동시에 해라\n당신은 할 수 있다.
110,도중에 포기하지 말라\n망설이지 말라\n최후의 성공을 거둘 때까지 밀고 나가자.
111,성공은 수고의 대가라는 것을 기억하라.
112,성공은 수만 번의 실패를 감싸준다.
113,성공은 실패 가능성과 패배의 위험을 무릅쓰고 얻어야 한다\n위험 없이는 성취의 보람도 없다.
114,성공하려면 남을 떠밀지 말고 제 힘을 측량해서 무리하지 말고 제 뜻한 일에 한눈팔지 말고 묵묵히 나가야 한다\n평범한 방법이지만 이것이 성공을 가져다주는 것이다\n
115,성공의 비결은 어떤 직업에 있든 간에 그 분야에서 제 1인자가 되려고 하는 데에 있다\n
116,성공이란 대담무쌍하게 가는 아이이다.
117,성공이란 결과로 측정하는 게 아니라 그것에 소비한 노력의 총계로 따져야 할 것이다.
118,성공이란 평범한 보통 사람들이 내린 비상한 결단에 의해 이루어진 결과라고 믿는다.
119,성공한 사람들은 어느 일에나 항상 실패의 가능성이 있다는 사실을 알고 있는 사람들이다\n그들은 실패를 두려워하지 않는 태도로 의연하다.
120,성공한 사람은 송곳처럼 어떤 한 점을 향하여 일한다.
121,성공은 역경과 번민의 체험을 통하지 않고서는 다가오지 않는다\n
122,성공하지 못할 거라는 그릇된 믿음을 버리는 것이 성공을 향한 첫걸음이다\n
123,아무리 위대한 일도 열심히 하지 않고 성공된 예는 없다.
124,양손을 주머니에 넣고서는 성공의 사다리를 오를 수가 없다\n지금 당장 펜을 잡아라.
125,위대한 사람은 단번에 그와 같이 높은 곳에 뛰어오른 것이 아니다\n많은 사람들이 밤에 단잠을 잘 적에 그는 일어나서 괴로움을 이기고 일에 몰두했던 것이다\n인생은 자고 쉬는데 있는 것이 아니라 한 걸음 한 걸음 걸어가는 그 속에 있다\n성공의 일순간은 실패했던 몇 년을 보상해 준다.
126,인생에서의 성공은 어떤 지위에 올랐느냐가 아니라 장애물을 극복하며 성공하려고 노력하는 과정에 있다.
127,자기 능력은 생각하지 않고 단숨에 몇 계단을 뛰어 올라가려는 사람은 성공하지 못한다.
128,자기신뢰가 성공의 제1의 비결이다\n믿어라 스스로를.
129,장기적 비젼을 위해 단기적 손해를 감수한다\n이것이 성공의 비결이다.
130,행동력을 착실하게 향상시키려면 당신이 해야할 일을 이 순간부터 주저 말고 시작하는 것이며 전력을 다하여 부딪혀 나가는 일이다\n이 외에 성공의 비결이란 절대로 없는 것이다.
131,널리 배우고 자세히 물으며 깊이 생각하고 분명히 분별하며 꾸준히 실천하라\n여기에 학문의 길이 있다.
132,배우는 길에 있어서는 이제 그만하자고 끝을 맺을 때가 없는 것이다\n사람은 그 일생을 통하여 배워야 하고 배우지 않으면 어두운 밤에 길을 걷는 사람처럼 길을 잃고 말 것이다.
133,배우려고 하는 학생은 부끄러워해서는 안 된다\n
134,배우지 않으면곧 늙고 쇠해진다\n
135,역사는 2등을 기억하지 않는다.
136,오늘의 일을 내일로 미루지 마라\n제발 미루지 마라\n
137,오늘 할 수 있는 일에만 전력을 쏟으라.
138,상상하라\n당신이 오늘 준비한 계획을 모두 클리어하고 침대에 누웠을때의 기분을\n
139,오늘 가장 좋게 웃는 자는 역시 최후에도 웃을 것이다.
140,오늘이라는 날은 두번 다시 오지 않는다는 것을 잊지 말라.
141,계획이란 미래에 관한 현재의 결정이다\n당신은 어떤 결정을 내릴 것인가?
142,그대의 하루하루를 그대의 마지막 날이라고 생각하라.
143,변명 중에서도 가장 어리석고 못난 변명은 "시간이 없어서"라는 변명이다.
144,사람은 금전을 시간보다 중히 여기지만 그로 인해 잃어버린 시간은 금전으론 살 수 없다.
145,선천적으로 현명한 사람은 없다\n시간이 모든 것을 완성한다.
146,세월은 누구에게나 공평하게 주어진 자본금이다\n이 자본을 잘 이용한 사람에겐 승리가 있다.
147,승자는 시간을 관리하며 살고 패자는 시간에 끌려 산다\n
148,시간을 지배할 줄 아는 사람은 인생을 지배할 줄 아는 사람이다.
149,시간을 최악으로 사용하는 사람들은 시간이 부족하다고 늘 불평하는데 일인자이다\n
150,짧은 인생은 시간의 낭비에 의해 더욱 짧아진다.
151,미래를 신뢰하지 마라\n죽은 과거는 묻어버려라\n그리고 살아있는 현재에 행동하라.
152,낭비한 시간에 대한 후회는 더 큰 시간 낭비이다.
153,시간을 지배하는 사람이 인생을 지배한다.
